Sarcosine,HMDB00271 ,C00213,76685,58799,52540,106042,80516,70068,70298,46139,35646,44979,46685,72646,38693,70534,28134,23058,165440,90962,69046,73561,35338,55292,22732,72784,35198,56985,70212,52580,83776,41344,35446,110518,44708,60497,44182,63455,35345,34503,20249,111666,94722,18647,97362,111683,23892,59155,36321,41248,35921,32785,33023,33987,51991,121839,36371,68342,42449,34783,50972,43659,33448,47086,55765,58009,39579,60819,76079,43801,77553,29351,43774,99931
Betaine Aldehyde,HMDB01252,C00576,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cadaverine,HMDB02322,C01672,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Aminoisobutyrate,HMDB03911,C03284,50585,172057,48614,32645,46095,38941,40976,59556,38332,52313,26678,59585,45067,44938,32268,41752,78640,35738,70406,30729,57223,55905,45740,56492,33810,49076,46365,55182,35388,39010,46834,59416,25832,43495,36659,40079,47157,35652,44521,57185,50651,27683,36104,31157,43712,44181,34449,22754,35244,38506,31989,33135,80609,41971,38927,40516,116723,211732,27972,40104,43708,59184,37122,39545,44708,47968,47010,31247,38091,35768,42483,115393
Choline,HMDB00097,C00114,21066208,19170623,23301225,23135366,25908609,27939674,23728096,24953733,23834976,25683908,22078531,23149178,25234678,21939200,29183752,23487193,24246090,19984161,24222048,18343124,19400235,23286613,20608285,20974558,19649304,15771679,21092400,22318519,25638929,21004969,21382462,18699326,26973422,23006340,32340662,25652533,23504240,26214061,27458938,13766638,21639884,29712984,24912356,21677566,22713240,21432821,21179051,23747756,21265513,24819547,20060741,22828616,19629651,20676313,20994588,24131574,25431245,22035907,12967939,18943190,25724874,17858828,24989112,20771107,20937635,19771144,20719100,16010091,23559059,14984181,16034900,20892226
Dimethylglycine,HMDB00092,C01026,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-2-Aminobutyric Acid,HMDB00452,C02356,7246,32129,7453,4223,11013,8785,5565,9770,8889,5955,6564,11494,7771,8534,7049,11704,10877,8430,9512,3007,9799,5875,7182,13238,6430,11865,11975,6872,4798,8309,6889,7384,4205,5056,5653,7108,4643,6823,6660,8192,9945,8625,5864,7705,14213,10452,7078,9153,9390,6059,7231,8302,8275,11557,4640,8995,27709,46452,8160,7497,9544,7788,7595,7805,6604,7192,5454,4616,5782,6326,9917,26070
2-Aminoisobutyric Acid,HMDB01906,C03665,2402346,2589750,2077653,2471956,2487483,1912315,2689477,2636800,1917450,2470594,1747086,2915185,2330006,2872818,2503936,2462326,3835295,2392203,2308658,1842417,1854442,2372193,2019764,2280790,1398013,2309928,2607602,2660604,1567202,2356372,2022367,2481639,1868562,1902069,1744032,2176459,1715966,1806414,2051477,1225872,2133050,1666346,1879370,1930008,2378072,2401628,2029217,2047090,1875460,1840744,1912221,1836291,2441123,2148252,2145035,2178924,2070412,1873939,754977,1744263,1946213,2050987,1677538,1949097,2176270,1740825,1916086,1396527,1817327,1720176,2187872,2156118
Serine,HMDB00187,C00065,6565585,4321508,6054559,5504505,8384390,5841874,6805358,7176789,5800282,6074954,4521778,7609944,6325653,7864870,6844967,5933890,7578247,5329970,6979906,4458525,5673481,7760647,5326899,5213703,4037618,5435663,6260817,6988704,7268382,6111283,5731679,5184696,4044133,5191201,7494818,4285753,7337666,5024706,4592051,3673958,8303238,5865794,5417235,5447452,5847437,5984440,4692267,8802902,4510647,8503135,6138379,4882334,6237349,8645729,7750368,6640915,4972676,5004924,2638960,4901787,6933995,6928170,4388839,5182046,7116691,6623361,5934952,5065804,6655636,5421520,4335423,6203424
Hypotaurine,HMDB00965,C00519,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cytosine,HMDB00630,C00380,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Histamine,HMDB00870,C00388,11658302,14573237,12468686,8558370,7654999,6826698,13939427,6497645,6926737,6432264,4817107,11611304,7369856,11677607,6867331,14153313,16849693,16223912,14446800,9825080,9870734,9998877,10857244,13172888,4542443,10673123,11885544,12641633,5703508,12368124,10439598,11062733,5346711,10248825,5583647,5637138,11260429,6605073,5571329,2779195,10806103,5601172,5616821,4607222,11932647,8907037,10083607,10566704,10826193,10510398,9181465,9895146,10768530,8507081,8651054,6346666,10839939,10955775,2062977,11127441,5386481,8976132,5153184,9557735,11231373,9837693,8992832,8452097,9787849,8025528,12452665,10924301
Creatinine,HMDB00562,C00791,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"5,6-Dihydrouracil",HMDB00076,C00429,225046,194807,274587,156161,209987,199461,239419,207390,238238,220034,222343,271539,222836,252290,224826,247541,280995,239418,279943,172047,203492,215916,186374,216102,126287,169230,259420,222902,193210,199778,228730,178453,147327,198407,184127,173688,234985,181625,164892,117536,245733,206084,165674,188899,248088,231730,239931,255039,190855,199726,205658,225496,213733,236231,223507,193451,234787,237660,89562,169846,206312,222764,178897,161103,221377,236212,178012,141960,292133,183099,180380,213512
Proline,HMDB00162,C00148,59888305,57601086,63675592,50660052,56742351,65282495,73679241,68597484,62750916,51627462,56328331,61070375,63755406,60380696,71753742,58450586,77559788,60905479,63476185,63006046,41091179,57064465,58593304,67660174,40935972,68747746,53346585,71890700,54765477,60827886,50454871,65202127,63529466,58142781,53516778,69573424,47528977,57117447,70916671,41764550,50356475,64751505,47041461,45493392,60930526,43794356,60614063,62637000,65050173,65246617,46429228,63168344,57326310,54630432,40326832,42417759,61386282,54367197,20391622,52990911,49166585,47023279,58880720,50674433,62424938,54224349,43786298,34421267,55231023,35597215,63418044,51076468
5-Aminovaleric Acid,HMDB03355,C00431,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Betaine,HMDB00043,C00719,39777668,30954446,37767268,35102328,37372574,34708401,30223178,29459877,33690641,35053945,35973804,41919114,35885809,33403321,34571403,34251760,38148155,31008930,35058500,28074929,36773459,32446532,34773613,29015818,27832952,26151450,33731699,32718726,49893250,31307192,37790963,32650671,28286466,34964699,37676058,28267738,52164533,34875752,29807862,24992787,47711787,30459725,30614359,32885933,32195250,35876562,33294373,43004018,27151231,45069096,48137255,29214209,34972851,40390514,35779300,42901609,28503192,40986100,24276025,30534569,31264247,47023836,28182215,29698263,35676741,39966565,33287537,38477528,36497071,33231069,29590100,31884833
