Current MS Compounds,QC(I)#1,QC(I)#2,QC(I)#3,QC(I)#4,QC(I)#5,QC(I)#6,QC(I)#7,QC(I)#8,QC(S)#1,QC(S)#2,QC(S)#3,QC(S)#4,QC(S)#5,QC(S)#6,QC(S)#7,QC(S)#8
Hypoxanthine,60571567,60084262,59492857,55428902,54403455,54070985,53409230,54626563,119140,113830,120053,109067,101910,103413,108469,103251
Phenylacetic Acid,46273,39623,44926,44972,36619,42400,38827,45085,31719,29395,29809,25934,27427,31520,30956,33456
Erythronic/Threonic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Anthranilic Acid,79273,86697,78082,83226,80699,89961,72014,83433,3976941,3988603,4166230,3013514,3096730,3027319,3029378,3130276
4-Hydroxybenzoic Acid,7689352,7731965,7724676,7213837,7154509,6826999,7099603,7120654,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acetylphosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
o-Phosphoethanolamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19140446,19438631,19312147,19061828,19333469,19221838,19130717,18517285
n-isoButyrylglycine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adipic Acid / 3-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alpha-Ketoglutaric Acid,888473,872091,756281,629853,641244,620728,616070,635906,1964514,1982195,1937851,1419247,1410719,1419634,1496428,1494379
2-Methylglutaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mevalonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Hydroxyglutarate,740203,758709,607239,520367,526931,484255,447348,437078,947157,957349,797798,744707,709917,712623,683995,625491
Citramalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-Tartaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
alpha-Ketophenylacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hydrocinnamic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Oxypurinol,325702,318073,316821,245273,226219,270703,259830,268930,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthine,3383391,3330805,3391176,2754013,2771744,2800884,2816183,2782785,573956,554595,558321,470519,457835,450439,461097,455340
2-Hydroxyphenylacetate,90096,95156,96842,87203,95071,87827,95230,88613,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
L-Mandelic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arabitol/Xylitol,198172,202221,203325,189439,207964,186543,190638,189119,331690,348974,345188,360139,365867,356401,361527,342313
3/4-Hydroxyphenylacetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxyanthranilic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Dopamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Sulfinoanaline,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"2,3-Dihydroxybenzoic Acid",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Gentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Orotate,58112,56180,48373,55390,54684,56781,52114,59016,35407,34138,31129,24008,30790,33157,24564,24538
Allantoin,734501,748635,759360,622723,625636,649374,654907,624043,386325,403188,407491,380938,368347,364346,361291,353556
n-isoValerylglycine,53252,54070,49872,36448,42219,39769,37052,39525,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-Aminoadipate,91240,84079,80906,78066,76049,73365,80445,74492,30853,34484,28907,27332,29849,27146,28325,31813
Indole-3-Carboxylic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,114765,120608,133879,110166,137890,144729,142963,134233
Indole-2-Carboxylic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32282,37859,42942,35052,30811,31173,48319,39195
3-Methyl-3-Hydroxyglutaric Acid,18305,16220,16265,20119,19857,17277,20693,19203,23279,24331,21867,25081,23278,26872,21865,21178
PPA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Hydroxycinnaminic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
p-Coumaric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xylonate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phenyllactic Acid,588366,624789,580127,406458,391672,394238,444483,406795,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-(4-Hydroxyphenyl)Propionate,590750,602184,581684,500860,503135,495407,485560,518011,103684,106586,105464,88111,76559,76290,98096,89943
Quinolinic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PEP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Homogentisate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Urate,31849105,32090181,31507767,28961950,28468886,29445625,28946924,28290171,13381826,13173257,12693330,10629259,10952504,11081268,10586582,10656143
DHAP/D-GA3P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycerol-3-P,410564,429883,426495,467284,462408,466767,459202,446033,16603990,16262409,16032276,16015936,16664180,16436520,16318751,16226448
trans-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Shikimic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
cis-Aconitate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Suberic Acid,164968,150829,164712,145851,128794,151396,167409,148220,534446,551275,553147,503920,502725,548898,507390,513743
Indole-3-Acetic Acid,179174,166156,150862,149803,149818,144759,169633,151768,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citrulline,8418129,8011542,8035914,7384718,7330303,7320495,7189882,7271280,392679,392824,379925,352887,344457,355934,348329,338085
N-Acetyl-Aspartate (NAA),4645418,4482783,3829024,2275673,2222026,2253996,2219417,2211106,21879497,21320376,21485223,18643632,18491686,18894785,19220250,19398280
Ascorbic Acid (Vit. C),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-isoPropylmalic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
n-Formylmethionine,47886,41250,44642,39734,39196,39407,34634,36761,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hippuric Acid,2598930,2484384,2473264,2016375,2025955,2000137,1979364,1975167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Inositol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucose,9517256,9134420,8835686,8175806,8073334,8304770,8153432,8206722,2192908,2118766,2054092,1911684,1944749,1879498,1903112,1922432
Mannose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fructose,453301,431028,448662,401827,381514,368215,391042,365624,526851,519837,501251,488140,474451,468298,465164,472256
OH-Phenylpyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Theophylline,1140037,1085569,1134857,1132037,1107379,1039369,1099327,1054829,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sorbitol,228585,220587,210533,227762,233017,235817,229465,232947,889229,901182,914589,956206,928639,892383,898232,884281
Homovanilate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Mannitol,41134,41517,42883,38104,38895,40351,36188,38372,78443,74775,71715,72007,72751,63072,74973,71274
4-Pyridoxic Acid,674770,643949,665201,565794,567807,551949,548691,559065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoserine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,183312,195180,192324,191506,186524,187020,193379,187706
2/3-Phosphoglyceric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52503,50994,53442,54894,55282,52241,55481,57899
Azelaic Acid,628921,650906,561313,456826,459905,466250,478348,463460,487387,476458,480516,411833,409256,486433,409173,399332
N-Ac-L-Glutamine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54174,57681,50995,51204,42412,47906,40924,44010
Kynurenic Acid,2183714,2465941,2502747,2464131,2454400,2440894,2524138,2487437,2980772,3266762,3274661,2666812,2604016,2616335,2605843,2599344
N-Ac-Glutamate,137483,137467,128699,115268,118137,123302,126912,123029,1297562,1252947,1195995,886260,919096,955261,976089,939459
Indole-3-Propionate,264855,266758,282950,244549,246030,228140,242301,234290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Hydroxyl-Indole-3-Acetic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Methionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Citric Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucoronate,534345,519519,525376,403783,354774,353865,347864,325925,184235,182761,192623,136248,136398,133411,129957,137899
4-Hydroxy-3-Nitrophenylacetate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Vanilmandelic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Erythrose-4-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cysteine-S-Sulfate,168814,151908,140304,108970,109322,104251,109141,104885,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IndolePyruvate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Xanthurenic Acid,280337,291996,300206,264197,273346,313506,355876,298045,18344656,17858909,17403362,15502939,15324779,15303885,15048794,14890546
Indole-3-Lactate,435815,455393,439052,372664,368356,387602,365043,384851,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Phenylalanine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3-Indoxyl Sulfate,5906105,5915031,5685904,4933915,4816315,4763716,4881609,4812448,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pantothenate,431660,427674,434678,375539,374273,365412,364734,371822,4588885,4630043,4666694,3859236,3888759,3890812,3798276,3846470
Cystathionine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68898,68145,64713,64487,71607,64641,68464,66668
N-Ac-Tyrosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Myristic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ribose-5-P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72511,73009,83332,74424,74764,73201,77410,70619
Ribulose 5-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90717,85315,84772,67445,75038,80873,82549,74263
Melatonin,52087,50634,43469,33984,29600,35005,38897,35642,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tetrahydrobiopterin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Thymidine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pseudouridine,2836914,2913863,2817315,2500872,2520215,2195477,2366144,2287817,110084,110300,118229,115530,104337,97891,102922,106956
Biotin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Ac-Tryptophan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pyridoxal-5-P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Palmitic Acid,321769,331666,343428,331541,340747,329290,341745,324422,67083,67736,67920,84149,85637,81389,77012,64652
5-Methyluridine,155477,147463,153042,162153,154785,148711,157038,153310,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5-Hydroxymethyl-2'-Deoxyuridine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glucosamine-6-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33051,40483,41223,45951,48063,45506,44579,44765
G6P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9342972,9271309,9380733,9450232,9390695,9804131,9512648,9407044
G1P/F1P/F6P,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1858625,1955077,1848065,1852076,1915283,1918331,1874881,1873174
Phenylacetylglutamine,2056641,2043186,1991791,1993330,2013244,1931226,1920225,1953973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MOPEG Sulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Margaric Acid,40586,42459,40306,33269,40494,30094,30462,35535,51576,50096,47648,45808,45337,49343,43474,49120
6-Phosphogluconic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linolenic Acid,128997,126899,121967,108527,121295,120924,111925,120350,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Linoleic Acid,1154583,1132530,1145215,1065062,1017350,1069664,1059646,1042564,63624,66519,68650,54790,56323,56465,60473,57005
Xanthosine,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,151909,161706,152384,156659,154002,155739,159021,168058
Sedoheptulose 7-Phosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647026,1638615,1638052,1571604,1571927,1678430,1586064,1554117
Retinoic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Acetyl-Aspartyl-Glutamate (NAAG),28325,24818,26429,27380,30280,30136,26253,31886,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arachidonate,2904077,2808721,2818913,2570379,2752772,2597864,2603420,2614556,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Reduced Glutathione,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4289973,4286195,4058980,3767153,3768067,3871760,4019969,3883905
DUMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
N-Acetylneuraminate,377161,342651,355397,320940,317320,324743,334659,315168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Geranyl Pyrophosphate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DTMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6889,7099,6826,9505,8639,10229,9727,8923
F16BP/F26BP/G16BP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lactose/Trehalose,67133,69854,62091,53418,63000,67526,64474,59288,1956252,2066421,2104192,2185864,2217114,2116212,2029958,2103120
Sucrose,147949,157409,136536,126654,141164,140955,143105,139812,4729988,4963317,4720873,4525406,4521835,4451026,4589403,4519305
cGMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12125,14607,13764,14214,14312,13451,15218,15173
Gibberellin,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
AMP,112437,131018,166986,142000,154348,169622,189192,158770,1401995,1457283,1333428,1452596,1456883,1353401,1412026,1462841
IMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,214638,200047,190736,180648,183060,179593,171369,168827
PGE,85041,79223,79733,68246,63760,62297,59648,66695,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cortisol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PRPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Deoxycholic Acid,51940,48014,47564,46228,43080,44771,41854,46220,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Chenodeoxycholate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-Muricholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gamma-Tocopherol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ADP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,204145,194318,200376,213265,213823,197865,210959,196898
alpha-Tocopherol,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Glycochenodeoxycholate,861870,866116,812949,763000,759250,781468,792326,751991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Adenylosuccinate,472033,445724,449208,423179,406785,383049,382777,404371,7253,7157,4860,6517,5142,6664,4776,7085
Glycocholate,30813,29931,29639,26118,26666,27157,27184,25854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Cholesteryl Sulfate,2407301,2342138,2273577,1736774,1721539,1729150,1709448,1804932,51742,53069,50987,43998,42202,48082,40478,40597
dCTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DUTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
TTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Phosphoadenosine Phosphosulfate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Tauro-alpha/beta-Muricholic Acid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Taurocholate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
GTP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
UDP-Glucose,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1505188,1487297,1478741,1549769,1622160,1563683,1590130,1557591
UDP-GlcNAc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,529184,530440,523498,483069,472872,476719,467275,459164
Oxidized Glutathione,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3309147,3763907,3445617,3360956,3537725,3559551,3537064,3500446
NADH,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NADP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3C13-Glycine,311859,289931,320716,288745,280320,294454,293323,292019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4C13-Alanine,3218322,3258271,3250942,3053781,3112428,2930819,3110452,2961788,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2C13-Choline,42708036,41100956,41888484,37006200,35804280,35492886,34559102,34312132,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4C13-Serine,3333570,3428938,3368717,3144115,3189191,3190215,3137938,3177046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
d3-Creatinine,27974523,28183069,28425390,25245409,25287367,25303879,25206490,25234600,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6C13-Proline,7808119,7651160,7643753,6675717,6870044,6827461,7010990,6784400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6C13-Valine,1644206,1625375,1670432,1622667,1680715,1700186,1701660,1638670,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5C13-Threonine,3578486,3373197,3531270,3308524,3377632,3174326,3241579,3212194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5C13-Aspartic Acid,4494675,4559696,4466644,4351866,4602061,4373381,4412410,4209424,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6C13-Asparagine,4363265,4435566,4362266,4059405,3923010,4043148,3938527,3876898,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7C13-Leucine,19562762,19628123,19777295,16048897,16692708,16303025,16150131,15979167,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7C13-iso-Leucine,2552251,2621880,2343080,2159328,2146646,2207291,2147815,2153506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2C13-Glutamic acid,20958773,21046515,20566629,19696220,19992774,19450047,20146441,19164481,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7C13-Glutamine,13102226,12758950,13033823,12371918,12212901,11876453,12117940,11454983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6C13-Glutamic acid,14246919,15173893,14798587,14277692,13778917,13994690,14041461,13710628,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8C13-Lysine,30572006,30726402,31303941,28715792,29680153,29065114,29684647,28720836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6C13-Methionine,1072848,1066244,1096445,984591,949532,986191,951726,960664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9C13-Histidine,5148086,5101256,4913054,4484604,4594037,4799438,4738538,4533222,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10C13-Phenylalanine,9441595,9188745,9500347,7591863,7849935,7619564,7601441,7418810,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2C13-Tyrosine,2260273,2138179,2286045,1961731,1798092,1861787,1881209,1890894,7579039,7758273,7815286,7109670,7188033,6984205,6911762,7025481
10C13-Arginine,63993960,63596602,64864722,60054048,62020631,62487660,61355745,58494931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10C13-Tyrosine,386298,410038,414101,334455,339878,339484,327179,299980,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13C13-Tryptophan,6919935,7083466,7092983,5783019,6035456,5724608,5708267,5708754,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8C13-Cystine,716416,720382,711413,680199,767066,756041,753012,700948,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11C13-Uridine,379379,364577,376302,347203,349321,341898,357071,343402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3C13-Lactate,15537204,15634553,15679431,15018130,15323143,15571907,15551786,15462795,30729078,31161486,31412727,28286148,28316741,28411884,28619304,28221144
4C13-3HBA,13880657,13889206,13827476,12354538,12502032,12710259,12065480,12140587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2N15-Xanthine,2419953,2426199,2442889,1991956,1974524,2001291,2007628,1976377,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2N15-Urate,15843714,15562092,15460613,14044756,13953135,14003318,13649098,13682729,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1C13-Citrulline,3683915,3653499,3682456,3280974,3290695,3290596,3190091,3288188,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
